PO_ID,Supplier,Category,Unit_Cost,MOQ,Lead_Time_Days,On_Time_Delivery_Pct,Quality_Score,Risk_Score,Annual_Quantity,Price_Variance_Pct,Late_Orders,Annual_Spend
PO-1084,BlueRiver Industrial,Packaging,6.96,100,15,99.0,96.7,37.2,1500,0.137,4,10440.0
PO-1085,PrimeSource Asia,Packaging,5.68,200,8,99.0,92.7,24.8,1000,-0.122,3,5680.0
PO-1086,Delta Precision,Mechanical,13.98,100,12,92.7,97.6,11.1,1000,0.051,0,13980.0
PO-1087,Everlink Tech,Semiconductors,33.65,200,19,93.4,89.6,47.5,1000,0.017,1,33650.0
PO-1088,Apex Components,Semiconductors,43.19,200,19,93.7,93.2,28.8,2000,-0.008,3,86380.0
PO-1089,Nova Electronics,Semiconductors,49.41,100,23,79.8,95.6,7.5,2000,0.253,2,98820.0
PO-1090,Orion Materials,Mechanical,23.09,1000,18,85.0,95.6,29.6,5000,0.047,6,115450.0
PO-1091,Vertex Supply,Mechanical,14.22,1000,7,95.3,91.7,22.4,5000,-0.001,2,71100.0
PO-1092,BlueRiver Industrial,Packaging,6.03,100,19,90.9,98.0,43.2,5000,0.161,3,30150.0
PO-1093,PrimeSource Asia,Packaging,5.81,100,12,83.0,92.4,21.1,2000,0.048,3,11620.0
PO-1094,Delta Precision,Mechanical,16.83,100,17,99.0,96.2,23.3,2000,-0.049,3,33660.0
PO-1095,Everlink Tech,Semiconductors,44.82,500,22,91.6,93.6,43.1,3000,0.004,2,134460.0
PO-1096,Apex Components,Semiconductors,38.8,200,23,88.9,93.6,29.6,1000,0.014,0,38800.0
PO-1097,Nova Electronics,Semiconductors,47.21,500,17,79.8,99.8,52.0,1500,-0.037,0,70815.0
PO-1098,Orion Materials,Mechanical,17.76,1000,7,90.5,99.1,26.9,1500,0.07,2,26640.0
PO-1099,Vertex Supply,Mechanical,14.01,100,11,97.0,91.7,23.3,1000,0.051,3,14010.0
PO-1100,BlueRiver Industrial,Packaging,5.7,200,11,99.0,86.3,42.7,2000,-0.021,1,11400.0
PO-1101,PrimeSource Asia,Packaging,4.97,100,17,81.1,96.1,41.7,5000,-0.08,3,24850.0
PO-1102,Delta Precision,Mechanical,22.24,100,12,92.0,94.7,48.5,1000,0.102,4,22240.0
PO-1103,Everlink Tech,Semiconductors,38.74,1000,16,89.9,93.7,25.9,1500,-0.092,2,58110.0
PO-1104,Apex Components,Semiconductors,36.77,200,20,88.9,92.4,37.9,1500,-0.085,2,55155.0
PO-1105,Nova Electronics,Semiconductors,39.26,200,17,99.0,96.3,40.9,3000,0.055,2,117780.0
PO-1106,Orion Materials,Mechanical,18.25,200,18,88.8,99.6,41.0,2000,0.175,4,36500.0
PO-1107,Vertex Supply,Mechanical,17.24,1000,5,93.4,96.3,26.6,1500,-0.007,0,25860.0
PO-1108,BlueRiver Industrial,Packaging,5.06,100,19,87.1,100.0,32.4,5000,-0.061,1,25300.0
PO-1109,PrimeSource Asia,Packaging,5.76,1000,15,89.4,96.8,40.8,3000,0.083,3,17280.0
PO-1110,Delta Precision,Mechanical,17.12,500,14,99.0,89.6,54.8,1500,0.035,2,25680.0
PO-1111,Everlink Tech,Semiconductors,34.93,200,9,87.1,97.2,27.9,1500,0.111,2,52395.0
PO-1112,Apex Components,Semiconductors,37.88,100,26,93.3,93.7,46.6,3000,-0.228,1,113640.0
PO-1113,Nova Electronics,Semiconductors,39.71,1000,20,94.8,90.6,51.6,3000,-0.057,2,119130.0
PO-1114,Orion Materials,Mechanical,13.47,100,15,88.4,99.3,44.7,1000,-0.111,1,13470.0
PO-1115,Vertex Supply,Mechanical,17.31,1000,24,92.3,96.5,50.5,2000,0.019,1,34620.0
PO-1116,BlueRiver Industrial,Packaging,6.03,100,10,89.2,91.4,32.2,2000,0.036,0,12060.0
PO-1117,PrimeSource Asia,Packaging,6.1,1000,16,89.2,98.8,5.0,3000,0.235,1,18300.0
PO-1118,Delta Precision,Mechanical,16.42,500,16,93.6,92.2,28.1,1500,-0.048,3,24630.0
PO-1119,Everlink Tech,Semiconductors,41.05,1000,18,92.2,96.8,38.0,1000,-0.021,5,41050.0
